codigo_secc,mun,prov,pob,renta_med,pobreza_pc,pobreza_menores_pc,pobreza_mayores_pc,precio_alquiler,jubilados_pc,parados_pc,monoparental_pc,extranjeros_pc,estudios_sup_pc,menores_pc,mayores_pc
0300908003,Alcoy/Alcoi,Alicante,1764,20650,11.4,NA,NA,NA,21.54,13.43,7.407407407407407,4.14,39.129999999999995,15.25,21.09
0300908003,Alcoy/Alcoi,Alicante,1764,20650,11.4,NA,NA,NA,21.54,13.43,7.906976744186046,4.14,39.129999999999995,15.25,21.09
0300908004,Alcoy/Alcoi,Alicante,676,17150,14.2,NA,NA,3.30923594665337,22.22,17.02,NA,5.62,25.08,12.13,24.26
0300908005,Alcoy/Alcoi,Alicante,1353,14350,26.3,NA,NA,3.44478490747416,24.9,26,11.052631578947368,11.16,17.07,11.23,27.05
0300908005,Alcoy/Alcoi,Alicante,1353,14350,26.3,NA,NA,3.44478490747416,24.9,26,11.11111111111111,11.16,17.07,11.23,27.05
0300908006,Alcoy/Alcoi,Alicante,1273,14350,24.1,NA,NA,3.97727272727273,21.27,27.27,12.953367875647668,12.88,15.71,9.51,23.41
0300908006,Alcoy/Alcoi,Alicante,1273,14350,24.1,NA,NA,3.97727272727273,21.27,27.27,12.43523316062176,12.88,15.71,9.51,23.41
0300908007,Alcoy/Alcoi,Alicante,2032,16450,15.3,NA,NA,4.08163265306122,17.54,16.31,9.090909090909092,7.33,25.319999999999997,15.260000000000002,16.93
0300908007,Alcoy/Alcoi,Alicante,2032,16450,15.3,NA,NA,4.08163265306122,17.54,16.31,9.090909090909092,7.33,25.319999999999997,15.260000000000002,16.93
0301001001,Alfafara,Alicante,408,16450,NA,NA,NA,NA,21.61,14.14,NA,6.370000000000001,29.360000000000003,11.52,25.25
0301101001,"Alfàs del Pi, l'",Alicante,989,13650,28.4,NA,NA,4.95049504950495,13.88,24.34,NA,33.37,28.23,15.47,16.68
0301101002,"Alfàs del Pi, l'",Alicante,3174,13650,36.3,39.3,28.3,8.41228070175439,16.16,20.380000000000003,8.775981524249422,58.95,30.84,12.26,25.869999999999997
0301101002,"Alfàs del Pi, l'",Alicante,3174,13650,36.3,39.3,28.3,8.41228070175439,16.16,20.380000000000003,8.545034642032332,58.95,30.84,12.26,25.869999999999997
0301101003,"Alfàs del Pi, l'",Alicante,1891,13650,28.8,NA,NA,5.6294014084507,11.7,22.1,11.764705882352942,32.89,24.08,14.12,14.23
0301101003,"Alfàs del Pi, l'",Alicante,1891,13650,28.8,NA,NA,5.6294014084507,11.7,22.1,12.658227848101266,32.89,24.08,14.12,14.23
0301101004,"Alfàs del Pi, l'",Alicante,3004,15050,27.8,33.1,21.7,7.04225352112676,23.92,22.83,8.020050125313283,54.290000000000006,29.64,11.62,34.99
0301101004,"Alfàs del Pi, l'",Alicante,3004,15050,27.8,33.1,21.7,7.04225352112676,23.92,22.83,7.788944723618091,54.290000000000006,29.64,11.62,34.99
0301101005,"Alfàs del Pi, l'",Alicante,3930,14350,29.7,36.2,26.8,6.04617604617605,14.03,17.62,8.73015873015873,52.42,28.13,14.78,22.44
0301101005,"Alfàs del Pi, l'",Alicante,3930,14350,29.7,36.2,26.8,6.04617604617605,14.03,17.62,8.712871287128714,52.42,28.13,14.78,22.44
0301101006,"Alfàs del Pi, l'",Alicante,4045,12250,39.8,53.9,29.7,8.50419384902144,19.03,23.98,7.424960505529226,66.47999999999999,30.86,11.15,31.47
0301101006,"Alfàs del Pi, l'",Alicante,4045,12250,39.8,53.9,29.7,8.50419384902144,19.03,23.98,7.424960505529226,66.47999999999999,30.86,11.15,31.47
0301101007,"Alfàs del Pi, l'",Alicante,1041,12950,32.4,NA,NA,4.3956043956044,13.18,25.22,NA,31.319999999999997,18.41,15.47,18.35
0301101008,"Alfàs del Pi, l'",Alicante,1541,13650,30.6,NA,NA,5.36842105263158,13.33,23.56,12.565445026178011,31.99,24.75,14.8,17.26
0301101008,"Alfàs del Pi, l'",Alicante,1541,13650,30.6,NA,NA,5.36842105263158,13.33,23.56,12.63157894736842,31.99,24.75,14.8,17.26
0301201001,Algorfa,Alicante,3459,12950,35.1,45,19.6,5.03968253968254,25.3,20.06,5.950095969289827,58.77,9.05,12.14,32.61
0301201001,Algorfa,Alicante,3459,12950,35.1,45,19.6,5.03968253968254,25.3,20.06,5.950095969289827,58.77,9.05,12.14,32.61
0301301001,Algueña,Alicante,1339,13650,27.1,NA,NA,NA,21.13,24.91,11.475409836065571,7.62,14.96,15.160000000000002,25.840000000000003
0301301001,Algueña,Alicante,1339,13650,27.1,NA,NA,NA,21.13,24.91,11.538461538461538,7.62,14.96,15.160000000000002,25.840000000000003
0301401001,Alicante/Alacant,Alicante,1143,21350,20.1,NA,NA,5.6625,28.01,16.509999999999998,11.666666666666666,22.92,52.87,8.49,36.4
0301401001,Alicante/Alacant,Alicante,1143,21350,20.1,NA,NA,5.6625,28.01,16.509999999999998,11.666666666666666,22.92,52.87,8.49,36.4
0301401002,Alicante/Alacant,Alicante,778,24150,17,NA,NA,4.9792246929364,27.42,12.79,NA,16.45,58.59,10.93,35.35
0301401003,Alicante/Alacant,Alicante,725,22750,17.1,NA,NA,6.32183908045977,27.01,13.61,NA,17.52,57.36,9.1,33.239999999999995
0301401004,Alicante/Alacant,Alicante,1088,23450,19,NA,NA,5.34641190552911,22.41,15.57,14.88095238095238,21.97,55.779999999999994,9.38,27.21
0301401004,Alicante/Alacant,Alicante,1088,23450,19,NA,NA,5.34641190552911,22.41,15.57,14.285714285714286,21.97,55.779999999999994,9.38,27.21
0301401005,Alicante/Alacant,Alicante,1128,26950,12.6,NA,NA,6.53237410071942,27.17,11.89,13.372093023255816,16.05,61.29,9.31,35.55
0301401005,Alicante/Alacant,Alicante,1128,26950,12.6,NA,NA,6.53237410071942,27.17,11.89,13.45029239766082,16.05,61.29,9.31,35.55
0301401006,Alicante/Alacant,Alicante,1259,22750,14,NA,NA,5.47945205479452,28.000000000000004,16.7,10.20408163265306,20.41,47.71,8.1,35.11
0301401006,Alicante/Alacant,Alicante,1259,22750,14,NA,NA,5.47945205479452,28.000000000000004,16.7,10.20408163265306,20.41,47.71,8.1,35.11
0301401007,Alicante/Alacant,Alicante,1217,26250,13.1,NA,NA,5.55045871559633,33.01,12.76,9.62566844919786,14.13,55.55,6.660000000000001,40.67
0301401007,Alicante/Alacant,Alicante,1217,26250,13.1,NA,NA,5.55045871559633,33.01,12.76,9.574468085106384,14.13,55.55,6.660000000000001,40.67
0301401008,Alicante/Alacant,Alicante,754,30450,8,NA,NA,6.25,28.53,10.13,NA,10.88,62.39,7.960000000000001,35.94
0301401009,Alicante/Alacant,Alicante,767,22750,15.8,NA,NA,6.02409638554217,25.76,14.09,NA,17.080000000000002,53.56999999999999,10.43,32.72
0301401010,Alicante/Alacant,Alicante,968,23450,16.5,NA,NA,6.25,22.34,16.869999999999997,NA,17.98,52.81,9.81,29.13
0301401011,Alicante/Alacant,Alicante,898,22050,17.8,NA,NA,6.69836503169837,18.63,23.17,NA,31.4,49.02,9.13,26.5
0301401012,Alicante/Alacant,Alicante,1482,12250,38.9,NA,NA,8.02909679173096,14.23,26.74,9.523809523809524,32.12,37.51,8.97,17.27
0301401012,Alicante/Alacant,Alicante,1482,12250,38.9,NA,NA,8.02909679173096,14.23,26.74,9.881422924901186,32.12,37.51,8.97,17.27
0301401014,Alicante/Alacant,Alicante,1045,19250,23.9,NA,NA,6.81751467710372,17.24,16.6,11.904761904761903,27.18,51.71,10.62,22.58
0301401014,Alicante/Alacant,Alicante,1045,19250,23.9,NA,NA,6.81751467710372,17.24,16.6,11.904761904761903,27.18,51.71,10.62,22.58
0301401015,Alicante/Alacant,Alicante,901,19250,25.8,NA,NA,7.40165631469979,18.91,17.810000000000002,NA,31.3,47.14,10.77,25.97
0301401017,Alicante/Alacant,Alicante,677,NA,NA,NA,NA,8.15217391304348,18.62,18.77,NA,22.16,52.72,10.34,27.77
0301401018,Alicante/Alacant,Alicante,860,19250,26.8,NA,NA,6.36865793780687,22.62,18.43,NA,32.21,49.17,8.49,31.4
0301401019,Alicante/Alacant,Alicante,762,19950,15.6,NA,NA,7.15974515974905,24.32,15.61,NA,22.31,45.04,8.790000000000001,32.019999999999996
0301401020,Alicante/Alacant,Alicante,978,25550,13,NA,NA,5.76923076923077,31.61,12.4,NA,11.76,54.559999999999995,9.1,37.53
0301401021,Alicante/Alacant,Alicante,989,24150,12.1,NA,NA,6.57298817696415,29.62,10.58,NA,16.580000000000002,55.08,7.48,37.01
0301401022,Alicante/Alacant,Alicante,963,23450,18.4,NA,NA,9.19451388888889,30.070000000000004,15.17,7.142857142857143,21.39,53.23,6.75,39.15
0301401022,Alicante/Alacant,Alicante,963,23450,18.4,NA,NA,9.19451388888889,30.070000000000004,15.17,6.508875739644971,21.39,53.23,6.75,39.15
0301401023,Alicante/Alacant,Alicante,920,28350,11.3,NA,NA,5.7282196969697,29.85,12.67,NA,12.07,64.86,7.5,37.28
0301401026,Alicante/Alacant,Alicante,781,15050,31,NA,NA,5.87086397058824,18.83,24.4,NA,30.86,36.52,10.24,25.74
0301402001,Alicante/Alacant,Alicante,1124,25200,13.1,NA,NA,6.15026054388536,23.89,16.29,11.764705882352942,12.9,58.17,11.74,28.29
0301402001,Alicante/Alacant,Alicante,1124,25200,13.1,NA,NA,6.15026054388536,23.89,16.29,11.176470588235292,12.9,58.17,11.74,28.29
0301402002,Alicante/Alacant,Alicante,1068,20650,18.6,NA,NA,5.5867887409201,24.51,16.7,13.173652694610778,17.88,55.77,8.33,31.55
0301402002,Alicante/Alacant,Alicante,1068,20650,18.6,NA,NA,5.5867887409201,24.51,16.7,12.574850299401197,17.88,55.77,8.33,31.55
0301402003,Alicante/Alacant,Alicante,1666,19250,22,NA,NA,6.19273169091591,20.16,16.33,11.923076923076923,23.71,48.23,10.38,25.51
0301402003,Alicante/Alacant,Alicante,1666,19250,22,NA,NA,6.19273169091591,20.16,16.33,11.877394636015326,23.71,48.23,10.38,25.51
