codigo_dist,mun,prov,pob,renta_med,pobreza_pc,pobreza_menores_pc,pobreza_mayores_pc,precio_alquiler,jubilados_pc,parados_pc,monoparental_pc,extranjeros_pc,estudios_sup_pc,menores_pc,mayores_pc
0305904,Crevillent,Alicante,4522,12950,32.6,41.4,19.3,3.27923251114008,16.39830755877022,27.289717504193796,11.793611793611792,8.182164971251659,16.56041359282457,19.08220698805838,15.943118089341
0305905,Crevillent,Alicante,5606,14350,27,32.4,24.7,4.13832199546485,17.56853390824883,24.13279297430976,8.561643835616438,18.31921334284695,15.998205525554216,14.910119514805569,19.8896806992508
0306001,Quatretondeta,Alicante,117,14350,NA,NA,NA,NA,40.37,12.2,NA,6.84,24.77,6.84,42.74
0306101,Daya Nueva,Alicante,1777,12950,29.1,NA,NA,NA,20.62,19.58,8.4,27.35,14.79,13.22,25.55
0306201,Daya Vieja,Alicante,698,14350,25.1,NA,NA,NA,23.77,17.02,NA,63.04,22.84,7.16,39.97
0306301,Dénia,Alicante,6765,14350,29.5,38.1,21.4,6.906328320802,15.37835361067094,21.784989646482337,10.08482563619227,37.78421433850702,32.9284499952601,12.238057649667407,20.116975609756096
0306302,Dénia,Alicante,10385,16450,24.7,28.9,18.8,6.02941176470588,18.57895738025519,19.342298039277008,11.484098939929329,29.56391718825229,35.23624477753488,13.394660568127104,23.439557053442464
0306303,Dénia,Alicante,9660,15750,24.5,29.7,18.1,4.76731601731602,16.83532948175065,16.506401551930054,12.25364181662382,29.305754658385094,32.49024592287724,15.01956314699793,20.455538302277432
0306304,Dénia,Alicante,16316,13650,30.6,40.6,21.6,4.80769230769231,13.358945868808233,22.274791323744346,13.996316758747698,26.63625582250552,23.115057084183384,15.12639372395195,16.04601127727384
0306401,Dolores,Alicante,6332,12250,34.1,NA,NA,3.125,14.983679567123383,22.41496505564589,11.809045226130651,14.213316487681617,16.509251414040435,17.151295009475678,16.867264687302587
0306402,Dolores,Alicante,1282,10150,46.8,NA,NA,NA,21.01,27.13,8.383233532934131,39.7,12.07,17.94,23.71
